"subject","night","n","mae","rmse","mape","r","pval"
"01","20231104",2022,5.083,6.844,6.122,0.3139,0.0000000000000000000000000000000000000000000000180910905847653
"01","20231105",3474,23.059,26.156,40.114,-0.2026,0.00000000000000000000000000000000160980180673321
"02","20231103",2910,35.353,36.422,73.22,0.0299,0.10717913603221
"02","20231104",2387,32.119,33.279,63.634,0.0364,0.0755554254459829
"03","20231103",2042,17.067,19.586,27.565,-0.0017,0.937884038838395
"03","20231105",3061,15.035,18.064,23.83,-0.1072,0.00000000279488606760413
"04","20231103",3049,12.701,14.97,19.226,0.0802,0.00000937624589185017
"04","20231104",3014,8.436,10.747,11.914,0.0636,0.000473038310134928
"05","20231103",2649,33.417,34.737,65.107,-0.0977,0.00000046826223408073
"05","20231104",3221,32.275,33.66,62.228,-0.0831,0.00000234924002705062
"06","20231110",2447,34.916,36.502,66.999,-0.1107,0.0000000405383934663848
"06","20231111",2346,35.62,36.832,70.954,-0.0665,0.00126437961166416
"07","20231111",4215,27.298,28.724,48.894,-0.0457,0.00298567124361838
"07","20231112",2978,28.995,30.688,54.349,-0.0666,0.000276721331245607
"08","20231110",2183,5.93,7.771,7.966,0.1834,0.00000000000000000583113381715404
"08","20231111",2755,6.155,8.023,8.177,0.2245,0.00000000000000000000000000000000823479037542532
"09","20231110",3281,12.349,14.785,19.201,0.056,0.00133034447516184
"09","20231111",2840,12.331,14.753,19.057,0.166,0.000000000000000000536665635094869
"10","20231110",2548,19.651,23.201,33.898,-0.3489,0.00000000000000000000000000000000000000000000000000000000000000000000000008131270652603
"10","20231111",2434,12.714,16.451,20.605,-0.2287,0.00000000000000000000000000000305084219464949
"11","20231117",2269,19.763,23.984,33.867,-0.2039,0.000000000000000000000102507447902417
"11","20231118",2424,32.482,34.118,61.005,-0.1207,0.00000000248496750915254
"12","20231117",2804,29.486,30.795,53.769,-0.1126,0.00000000221143530398979
"12","20231118",2722,31.977,33.144,60.701,-0.0419,0.0286487826240101
"13","20231121",2212,31.856,32.939,59.41,0.0137,0.519213593301283
"14","20231118",2596,24.023,26.336,41.957,-0.1593,0.000000000000000321102813363123
"14","20231122",3391,23.196,25.828,40.041,-0.1745,0.00000000000000000000000139515520896835
"15","20231117",2908,35.347,36.364,72.466,0.0359,0.0531544630486676
"16","20231127",3175,21.407,23.069,35.816,0.0298,0.0931224516114847
"16","20231128",3337,22.203,24.286,37.686,-0.0423,0.014495236756961
"17","20231126",2581,28.981,30.352,53.699,-0.0427,0.0301985745849836
"18","20231126",2578,8.459,11.502,12.636,0.1161,0.00000000337308213741878
"18","20231127",2528,7.767,10.368,11.509,0.1488,0.0000000000000549589595704337
"18","20231128",2795,14.82,17.864,23.73,-0.203,0.00000000000000000000000000226678384876163
"19","20231126",2851,22.178,24.543,37.874,-0.1859,0.0000000000000000000000137663320731295
"19","20231127",2982,23.325,25.73,40.334,-0.1851,0.00000000000000000000000219363967734473
"20","20231127",2485,25.239,26.768,43.475,-0.0625,0.00181266561338393
"20","20231128",2294,19.959,23.04,33.533,-0.2411,0.000000000000000000000000000000108363099145977
"31","20240120",3103,9.261,11.41,13.072,0.0941,0.000000149805233088793
"31","20240121",2454,7.664,10.011,10.919,0.0981,0.00000113486231418949
"32","20240127",2510,23.781,26.306,41.547,-0.2935,0.00000000000000000000000000000000000000000000000000485140810185733
"32","20240128",2280,27.714,29.184,49.569,-0.0928,0.00000913072834972908
